Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Example
吧,ba,modal particle (suggestion),ba,trợ từ ngữ khí,我们走吧。Wǒmen zǒu ba. – Chúng ta đi nhé.
白,bái,white,bạch,màu trắng,白云。Bái yún – mây trắng.
百,bǎi,hundred,bách,một trăm,一百块。Yì bǎi kuài – 100 tệ.
帮助,bāng zhù,to help,giúp trợ,giúp đỡ,谢谢你的帮助。Cảm ơn sự giúp đỡ của bạn.
报纸,bào zhǐ,newspaper,báo chỉ,tờ báo,我买报纸。Tôi mua báo.
比,bǐ,than (comparison particle),tỉ,so với/hơn,他跑得比我快。Anh ấy chạy nhanh hơn tôi.
别,bié,don’t (imperative),biệt,đừng,别说话。Đừng nói chuyện.
长,zhǎng,long,trường,dài,长头发。Tóc dài.
唱歌,chàng gē,to sing,xướng ca,hát,我喜欢唱歌。Tôi thích hát.
出,chū,to go out,xuất,ra ngoài,他出去了。Anh ấy ra ngoài rồi.
穿,chuān,to wear,xuyên,mặc,我穿新衣服。Tôi mặc đồ mới.
船,chuán,boat,thuyền,thuyền,坐船。Đi thuyền.
次,cì,number of times,thứ,lần,我去过两次。Tôi đã đi hai lần.
从,cóng,from,tòng,từ,从这儿到学校很近。Từ đây đến trường rất gần.
错,cuò,wrong,thác,sai,你错了。Bạn sai rồi.
打篮球,dǎ lán qiú,to play basketball,đả lam cầu,chơi bóng rổ,我会打篮球。Tôi biết chơi bóng rổ.
大家,dà jiā,everyone,đại gia,mọi người,大家好！Xin chào mọi người!
但是,dàn shì,but,đãn thị,nhưng,我想去，但是没时间。Tôi muốn đi nhưng không có thời gian.
到,dào,to arrive,đáo,đến,我到了。Tôi đến rồi.
得,dé,particle after verb,đắc,được (bổ ngữ)," ""他说得很好。Anh ấy nói rất tốt."""
得,dé,have to,đãi,phải,我得走了。Tôi phải đi rồi.
弟弟,dì di,younger brother,đệ đệ,em trai,我有一个弟弟。Tôi có một em trai.
第一,dì yī,first,đệ nhất,thứ nhất,第一名。Hạng nhất.
懂,dǒng,to understand,đổng,hiểu,我懂了。Tôi hiểu rồi.
房间,fáng jiān,room,phòng gian,phòng,这是我的房间。Đây là phòng của tôi.
非常,fēi cháng,very/ extremely,phi thường,rất/cực kỳ,我非常喜欢。Tôi rất thích.
服务员,fú wù yuán,waiter,phục vụ viên,nhân viên phục vụ,"服务员，请结账。Phục vụ, tính tiền."
高,gāo,tall/high,cao,cao,他很高。Anh ấy rất cao.
告诉,gào sù,to tell,cáo tố,nói/bảo,告诉我吧。Nói cho tôi biết đi.
哥哥,gē gē,older brother,ca ca,anh trai,我哥哥。Anh trai tôi.
给,gěi,to give,cấp,cho,给你。Cho bạn.
公共汽车,gōng gòng qì chē,bus,công cộng khí xa,xe buýt,我坐公共汽车。Tôi đi xe buýt.
公斤,gōng jīn,kilogram,công cân,kg,一公斤苹果。1 kg táo.
公司,gōng sī,company,công ty,công ty,我在公司上班。Tôi làm việc ở công ty.
贵,guì,expensive,quý,đắt,太贵了！Đắt quá!
还,hái,still/also,hoàn,vẫn/còn,我还不知道。Tôi vẫn chưa biết.
孩子,hái zi,child,hài tử,đứa trẻ,孩子们在玩。Trẻ con đang chơi.
好吃,hǎo chī,delicious,hảo xích,ngon,这个面条很好吃。Mì này ngon lắm.
号,hào,number,hiệu,số/ngày,今天几号？Hôm nay ngày mấy?
黑,hēi,black,hắc,màu đen,黑衣服。Quần áo đen.
红,hóng,red,hồng,màu đỏ,红苹果。Táo đỏ.
欢迎,huān yíng,to welcome,hoan nghênh,hoan nghênh,欢迎你！Chào mừng bạn!
还,hái,to return,hoàn,trả lại,把书还给我。Trả sách lại cho tôi.
回答,huí dá,to answer,hồi đáp,trả lời,请回答我的问题。Hãy trả lời câu hỏi của tôi.
机场,jī chǎng,airport,cơ trường,sân bay,我在机场。Tôi ở sân bay.
鸡蛋,jī dàn,egg,kê đản,trứng gà,吃鸡蛋。Ăn trứng.
件,jiàn,measure word for clothes,kiện,chiếc/cái,一件衣服。Một cái áo.
教室,jiào shì,classroom,giáo thất,phòng học,我们在教室学习。Chúng tôi học trong lớp.
姐姐,jiě jiě,older sister,tỉ tỉ,chị gái,我姐姐。Chị tôi.
介绍,jiè shào,to introduce,giới thiệu,giới thiệu,我来介绍一下。Để tôi giới thiệu.
进,jìn,to enter,tiến,tiến vào,请进。Mời vào.
近,jìn,near,cận,gần,我家很近。Nhà tôi rất gần.
就,jiù,then/just, tựu,thì/liền,我马上就来。Tôi đến ngay.
觉得,jué de,to think,giác đắc,cảm thấy,我觉得很开心。Tôi cảm thấy rất vui.
咖啡,kā fēi,coffee,ca phi,cà phê,我喝咖啡。Tôi uống cà phê.
开始,kāi shǐ,to start,khai thủy,bắt đầu,我们开始吧。Chúng ta bắt đầu thôi.
考试,kǎo shì,exam,khảo thí,thi,我明天考试。Ngày mai tôi thi.
可能,kě néng,maybe,khả năng,có thể,他可能来。Anh ấy có thể đến.
可以,kě yǐ,can/ may,khả dĩ,có thể,可以进来吗？Có thể vào không?
课,kè,lesson / course,khóa,bài học,上课了。Vào học rồi.
快,kuài,fast,khối,nhanh,他跑得很快。Anh ấy chạy rất nhanh.
快乐,kuài lè,happy,khoái lạc,vui vẻ,生日快乐！Chúc mừng sinh nhật!
累,lèi,tired,lệ,mệt,我很累。Tôi rất mệt.
离,lí,away from,ly,cách,学校离这里很近。Trường cách đây rất gần.
两,liǎng,two (before classifier),lưỡng,hai,两个人。Hai người.
路,lù,road,lộ,đường,这条路很长。Con đường này dài.
旅游,lǚ yóu,to travel,du du,lữ du/du lịch,我喜欢旅游。Tôi thích du lịch.
卖,mài,to sell,mại,bán,她卖水果。Cô ấy bán trái cây.
慢,màn,slow,mạn,chậm,太慢了！Chậm quá!
忙,máng,busy,mang,bận,我很忙。Tôi bận.
每,měi,every,mỗi,mỗi,每天。Mỗi ngày.
妹妹,mèi mèi,younger sister,muội muội,em gái,我妹妹。Em gái tôi.
门,mén,door,môn,cửa,开门！Mở cửa!
男人,nán rén,man,nam nhân,đàn ông,那个男人是谁？Người đàn ông đó là ai?
您,nín,you (polite),nhân,ngài,您好吗？Ngài khỏe không?
牛奶,niú nǎi,milk,ngưu nãi,sữa bò,我喝牛奶。Tôi uống sữa.
女人,nǚ rén,woman,nữ nhân,phụ nữ,那个女人很漂亮。Người phụ nữ đó rất đẹp.
旁边,páng biān,next to,bàng biên,bên cạnh,我在你旁边。Tôi ở bên cạnh bạn.
跑步,pǎo bù,to run,bào bộ,chạy bộ,我每天跑步。Tôi chạy bộ mỗi ngày.
便宜,pián yi,cheap,tiện nghi,rẻ,很便宜。Rẻ lắm.
票,piào,ticket,phiếu,vé,一张票。Một vé.
妻子,qī zǐ,wife,thê tử,vợ,他有一个妻子。Anh ấy có một người vợ.
起床,qǐ chuáng,to get up,khởi sàng,dậy,我七点起床。Tôi dậy lúc 7 giờ.
千,qiān,thousand,thiên,một nghìn,一千块。1000 tệ.
晴,qíng,sunny,tình,trời nắng,今天是晴天。Hôm nay trời nắng.
去年,qù nián,last year,khứ niên,năm ngoái,我去年去中国。Tôi đi Trung Quốc năm ngoái.
让,ràng,to let/allow,nhượng,để/cho phép,让我看看。Cho tôi xem.
